,Plot_Idnum,Year,Fert_st_x,Tillage_st_x,Yield_bu_ac,mach_cost,diesel_cost,labor_cost,P_cost,K_cost,input_cost,Value,income_per_ac,profit,roi
13,406,1970,Control,Alt,20.6,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,27.398000000000003,24.675902451795096,906.503239315125
14,411,1970,Control,Chisel,46.5,24.3775754806316,1.77857280979374,4.89649651669924,0.0,0.0,31.05264480712458,1.33,61.845000000000006,30.792355192875426,99.16177956542552
15,416,1970,Control,No_till,35.4,1.83869790729825,0.233591360204905,0.649808280701754,0.0,0.0,2.722097548204909,1.33,47.082,44.359902451795094,1629.622071444438
16,101,1971,Control,Conv,34.8,24.5079628470444,1.90239298666667,5.65773596539919,0.0,0.0,32.068091799110256,1.08,37.583999999999996,5.51590820088974,17.20061248247637
17,106,1971,Control,Alt,52.6,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,56.80800000000001,54.105799391729,2002.2865521575175
18,111,1971,Control,Chisel,53.1,24.1039496334,1.7736596252363,4.90694635682634,0.0,0.0,30.784555615462637,1.08,57.348000000000006,26.56344438453737,86.28821775551289
19,116,1971,Control,No_till,19.1,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,20.628000000000004,17.925799391728997,663.3778164678438
20,201,1971,Control,Conv,70.4,24.5079628470444,1.90239298666667,5.65773596539919,0.0,0.0,32.068091799110256,1.08,76.03200000000001,43.963908200889755,137.09549191857295
21,206,1971,Control,Alt,14.3,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,15.444000000000003,12.741799391728996,471.53417672723384
22,211,1971,Control,Chisel,55.2,24.1039496334,1.7736596252363,4.90694635682634,0.0,0.0,30.784555615462637,1.08,59.61600000000001,28.83144438453737,93.65554840121114
23,216,1971,Control,No_till,54.1,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,58.428000000000004,55.725799391729,2062.2376895764583
24,301,1971,Control,Conv,41.4,24.5079628470444,1.90239298666667,5.65773596539919,0.0,0.0,32.068091799110256,1.08,44.712,12.643908200889747,39.42831484984261
25,306,1971,Control,Alt,49.6,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,53.568000000000005,50.865799391729,1882.384277319636
26,311,1971,Control,Chisel,45.5,24.1039496334,1.7736596252363,4.90694635682634,0.0,0.0,30.784555615462637,1.08,49.14,18.355444384537364,59.62549732346206
27,316,1971,Control,No_till,34.3,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,37.044,34.34179939172899,1270.8826756464418
28,401,1971,Control,Conv,30.0,24.5079628470444,1.90239298666667,5.65773596539919,0.0,0.0,32.068091799110256,1.08,32.400000000000006,0.3319082008897496,1.03501076075552
29,406,1971,Control,Alt,31.6,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,34.12800000000001,31.425799391729,1162.9706282923491
30,411,1971,Control,Chisel,41.0,24.1039496334,1.7736596252363,4.90694635682634,0.0,0.0,30.784555615462637,1.08,44.28,13.495444384537365,43.838360225537244
31,416,1971,Control,No_till,28.6,1.8180594614,0.232946080204339,0.651195066666667,0.0,0.0,2.7022006082710064,1.08,30.888000000000005,28.185799391729,1043.0683534544678
32,101,1972,Control,Conv,48.5,24.5193143814803,1.79753668031496,5.68580447480834,0.0,0.0,32.0026555366036,1.57,76.145,44.1423444633964,137.93337997500808
33,106,1972,Control,Alt,49.5,24.5193143814803,1.79753668031496,5.68580447480834,0.0,0.0,32.0026555366036,1.57,77.715,45.712344463396406,142.83922286109075
34,111,1972,Control,Chisel,24.8,24.1151140380472,1.67589885849099,4.93129013512019,0.0,0.0,30.722303031658377,1.57,38.936,8.213696968341623,26.735290514769233
35,116,1972,Control,No_till,46.3,1.81890154544882,0.22010653247654,0.654425700787402,0.0,0.0,2.693433778712762,1.57,72.691,69.99756622128724,2598.822617229531
